,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
82,Indiana,IN,Vermillion County,2081,4511,6913,0.30102705,0.652538695,15752.0,15453.0,59.0,16.0,174.0,43.0,41.5,44.7,31.0,4215.0,777.0,1173.0,1043.0,318.0,41.0,30.0,44409.0,22932.0,76200.0,6922.0,5787.0,431.0
83,Indiana,IN,Vigo County,15922,21924,39569,0.402385706,0.554070105,108099.0,94538.0,6333.0,2058.0,2708.0,36.1,34.6,38.2,549.0,18137.0,4683.0,5719.0,9840.0,4523.0,757.0,910.0,41221.0,22079.0,91900.0,51766.0,36412.0,4205.0
84,Indiana,IN,Wabash County,3018,9819,13415,0.224972046,0.731941856,32177.0,30763.0,269.0,38.0,779.0,42.1,40.8,43.8,128.0,8354.0,875.0,1698.0,2433.0,1274.0,144.0,169.0,47473.0,23745.0,96200.0,15902.0,10295.0,937.0
85,Indiana,IN,Warren County,839,2896,3919,0.21408522600000002,0.7389640209999999,8309.0,8145.0,57.0,1.0,113.0,44.5,44.1,44.8,46.0,2261.0,293.0,581.0,801.0,251.0,47.0,58.0,58623.0,28690.0,110700.0,4258.0,2462.0,213.0
86,Indiana,IN,Warrick County,9086,19133,29609,0.306866156,0.646188659,61427.0,57989.0,941.0,1342.0,1052.0,40.6,39.2,42.2,155.0,11781.0,1990.0,4109.0,7431.0,3066.0,800.0,420.0,61542.0,31021.0,153000.0,31429.0,16668.0,1419.0
87,Indiana,IN,Washington County,2636,8206,11333,0.232595076,0.72408012,27792.0,27299.0,13.0,45.0,355.0,41.0,39.8,43.1,187.0,7324.0,1332.0,1642.0,1399.0,865.0,76.0,70.0,44883.0,22096.0,104600.0,13035.0,8910.0,1128.0
88,Indiana,IN,Wayne County,8322,16028,25575,0.32539589399999996,0.626705767,67423.0,60513.0,3372.0,583.0,1869.0,40.9,39.3,42.7,408.0,14888.0,3217.0,3859.0,4611.0,2511.0,387.0,408.0,39691.0,22227.0,94300.0,30948.0,23288.0,2257.0
89,Indiana,IN,Wells County,2585,9999,13123,0.196982397,0.761944677,27836.0,26968.0,201.0,193.0,721.0,40.7,38.5,42.3,101.0,6729.0,836.0,2115.0,2219.0,804.0,168.0,68.0,51568.0,24544.0,118800.0,14115.0,7669.0,533.0
90,Indiana,IN,White County,2563,6813,9902,0.258836599,0.68804282,24265.0,22663.0,112.0,61.0,1833.0,42.3,41.0,43.7,113.0,6413.0,824.0,1693.0,1730.0,788.0,84.0,25.0,51547.0,25859.0,106600.0,12026.0,7269.0,652.0
91,Indiana,IN,Whitley County,3379,11357,15535,0.217508851,0.7310588990000001,33354.0,32300.0,130.0,122.0,615.0,41.3,40.1,42.8,203.0,8209.0,1279.0,2044.0,2628.0,1258.0,240.0,68.0,54837.0,27062.0,129800.0,17343.0,9107.0,816.0
